,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,ETH,BTG,ZEC
QCN,1.0,0.034867375020955986,0.8480512878910191,0.8290209750481483,0.819798215183167,0.8312893534921681,0.8884830680974134,0.9113085421752818,0.8825264207608188,0.8313331071007897,0.8569195015530698
FCN,0.034867375020955986,1.0,0.03348992588238186,0.12736243625292853,0.34681652181431954,0.2646280996195568,0.2635668399877076,0.16960397523990428,0.2518257923135214,0.330663142134503,0.2852943465286326
BCN,0.8480512878910191,0.03348992588238186,1.0,0.8808957765828871,0.7741541602370386,0.8607021114846072,0.8597941116080413,0.8614190796015059,0.8169506669534187,0.8045624432563314,0.8203675328443691
GRS,0.8290209750481483,0.12736243625292853,0.8808957765828871,1.0,0.8215516803131286,0.8782361575084147,0.8672658079540081,0.8745296362214814,0.8533431867666612,0.8503158127677659,0.8761280230761168
ZCL,0.819798215183167,0.34681652181431954,0.7741541602370386,0.8215516803131286,1.0,0.8825427314991013,0.9323697482067747,0.9153279045793683,0.9235655114151226,0.9232925616841727,0.9075815223270675
UBQ,0.8312893534921681,0.2646280996195568,0.8607021114846072,0.8782361575084147,0.8825427314991013,1.0,0.9374398344538655,0.922427673885965,0.9329856104472275,0.8938702305940901,0.9202741126220646
EXP,0.8884830680974134,0.2635668399877076,0.8597941116080413,0.8672658079540081,0.9323697482067747,0.9374398344538655,1.0,0.9578145128447949,0.9704097153527643,0.9359997925895266,0.9481824867365756
ETC,0.9113085421752818,0.16960397523990428,0.8614190796015059,0.8745296362214814,0.9153279045793683,0.922427673885965,0.9578145128447949,1.0,0.9665396521069348,0.9226568270930788,0.9369151825614201
ETH,0.8825264207608188,0.2518257923135214,0.8169506669534187,0.8533431867666612,0.9235655114151226,0.9329856104472275,0.9704097153527643,0.9665396521069348,1.0,0.9260400064393934,0.9479273787586621
BTG,0.8313331071007897,0.330663142134503,0.8045624432563314,0.8503158127677659,0.9232925616841727,0.8938702305940901,0.9359997925895266,0.9226568270930788,0.9260400064393934,1.0,0.9238027414729395
ZEC,0.8569195015530698,0.2852943465286326,0.8203675328443691,0.8761280230761168,0.9075815223270675,0.9202741126220646,0.9481824867365756,0.9369151825614201,0.9479273787586621,0.9238027414729395,1.0
