,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.03486737502095475,0.8480512878910195,0.829020975048148,0.8197982151831681,0.8312893534921687,0.8884830680974128,0.9113085421752808,0.5931801938277291,0.8637873748965526,0.8825264207608188,0.8313331071007912,0.8569195015530707
FCN,0.03486737502095475,1.0,0.03348992588238083,0.1273624362529274,0.3468165218143185,0.26462809961955597,0.2635668399877063,0.16960397523990298,0.5171279376455401,0.20635606193298478,0.2518257923135204,0.3306631421345022,0.28529434652863134
BCN,0.8480512878910195,0.03348992588238083,1.0,0.8808957765828866,0.7741541602370382,0.8607021114846064,0.8597941116080411,0.8614190796015057,0.5772118308495546,0.8383131343230841,0.816950666953419,0.804562443256332,0.8203675328443688
GRS,0.829020975048148,0.1273624362529274,0.8808957765828866,1.0,0.8215516803131289,0.8782361575084145,0.8672658079540083,0.87452963622148,0.6426757776266611,0.8922662129591097,0.8533431867666604,0.850315812767765,0.8761280230761161
ZCL,0.8197982151831681,0.3468165218143185,0.7741541602370382,0.8215516803131289,1.0,0.8825427314991012,0.9323697482067751,0.9153279045793681,0.7750891657446254,0.9126568042048425,0.9235655114151229,0.9232925616841724,0.9075815223270678
UBQ,0.8312893534921687,0.26462809961955597,0.8607021114846064,0.8782361575084145,0.8825427314991012,1.0,0.9374398344538657,0.9224276738859642,0.7715768051176262,0.9297944905340217,0.9329856104472277,0.8938702305940903,0.9202741126220648
EXP,0.8884830680974128,0.2635668399877063,0.8597941116080411,0.8672658079540083,0.9323697482067751,0.9374398344538657,1.0,0.9578145128447941,0.7789124739472423,0.9403453014978883,0.9704097153527653,0.9359997925895261,0.948182486736576
ETC,0.9113085421752808,0.16960397523990298,0.8614190796015057,0.87452963622148,0.9153279045793681,0.9224276738859642,0.9578145128447941,1.0,0.6992439555938198,0.9408481623665467,0.9665396521069352,0.9226568270930786,0.936915182561418
XMR,0.5931801938277291,0.5171279376455401,0.5772118308495546,0.6426757776266611,0.7750891657446254,0.7715768051176262,0.7789124739472423,0.6992439555938198,1.0,0.7428547215013375,0.7603451081949898,0.7748157739206153,0.7485271019358762
BTX,0.8637873748965526,0.20635606193298478,0.8383131343230841,0.8922662129591097,0.9126568042048425,0.9297944905340217,0.9403453014978883,0.9408481623665467,0.7428547215013375,1.0,0.9501574172457897,0.9237757568876949,0.933346707785517
ETH,0.8825264207608188,0.2518257923135204,0.816950666953419,0.8533431867666604,0.9235655114151229,0.9329856104472277,0.9704097153527653,0.9665396521069352,0.7603451081949898,0.9501574172457897,1.0,0.9260400064393935,0.9479273787586627
BTG,0.8313331071007912,0.3306631421345022,0.804562443256332,0.850315812767765,0.9232925616841724,0.8938702305940903,0.9359997925895261,0.9226568270930786,0.7748157739206153,0.9237757568876949,0.9260400064393935,1.0,0.9238027414729395
ZEC,0.8569195015530707,0.28529434652863134,0.8203675328443688,0.8761280230761161,0.9075815223270678,0.9202741126220648,0.948182486736576,0.936915182561418,0.7485271019358762,0.933346707785517,0.9479273787586627,0.9238027414729395,1.0
