,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.03486737502095469,0.8480512878910197,0.8290209750481473,0.8197982151831678,0.8312893534921681,0.8884830680974128,0.9113085421752802,0.5931801938277294,0.8637873748965527,0.8825264207608186,0.8313331071007906,0.85691950155307
FCN,0.03486737502095469,1.0,0.03348992588238091,0.12736243625292684,0.3468165218143188,0.26462809961955586,0.2635668399877063,0.1696039752399027,0.5171279376455399,0.20635606193298497,0.2518257923135201,0.33066314213450254,0.28529434652863156
BCN,0.8480512878910197,0.03348992588238091,1.0,0.8808957765828876,0.7741541602370389,0.8607021114846067,0.8597941116080423,0.8614190796015059,0.577211830849555,0.8383131343230849,0.8169506669534187,0.8045624432563329,0.8203675328443691
GRS,0.8290209750481473,0.12736243625292684,0.8808957765828876,1.0,0.8215516803131283,0.8782361575084147,0.8672658079540086,0.8745296362214809,0.642675777626661,0.8922662129591097,0.8533431867666604,0.8503158127677667,0.8761280230761156
ZCL,0.8197982151831678,0.3468165218143188,0.7741541602370389,0.8215516803131283,1.0,0.8825427314991018,0.9323697482067747,0.9153279045793677,0.7750891657446253,0.9126568042048429,0.9235655114151236,0.9232925616841731,0.9075815223270673
UBQ,0.8312893534921681,0.26462809961955586,0.8607021114846067,0.8782361575084147,0.8825427314991018,1.0,0.9374398344538664,0.9224276738859646,0.771576805117626,0.9297944905340214,0.932985610447227,0.8938702305940908,0.9202741126220652
EXP,0.8884830680974128,0.2635668399877063,0.8597941116080423,0.8672658079540086,0.9323697482067747,0.9374398344538664,1.0,0.9578145128447945,0.7789124739472422,0.9403453014978895,0.970409715352765,0.9359997925895259,0.9481824867365759
ETC,0.9113085421752802,0.1696039752399027,0.8614190796015059,0.8745296362214809,0.9153279045793677,0.9224276738859646,0.9578145128447945,1.0,0.6992439555938204,0.9408481623665474,0.9665396521069357,0.9226568270930786,0.9369151825614181
XMR,0.5931801938277294,0.5171279376455399,0.577211830849555,0.642675777626661,0.7750891657446253,0.771576805117626,0.7789124739472422,0.6992439555938204,1.0,0.7428547215013388,0.7603451081949902,0.7748157739206157,0.7485271019358767
BTX,0.8637873748965527,0.20635606193298497,0.8383131343230849,0.8922662129591097,0.9126568042048429,0.9297944905340214,0.9403453014978895,0.9408481623665474,0.7428547215013388,1.0,0.9501574172457912,0.9237757568876958,0.9333467077855176
ETH,0.8825264207608186,0.2518257923135201,0.8169506669534187,0.8533431867666604,0.9235655114151236,0.932985610447227,0.970409715352765,0.9665396521069357,0.7603451081949902,0.9501574172457912,1.0,0.9260400064393941,0.9479273787586622
BTG,0.8313331071007906,0.33066314213450254,0.8045624432563329,0.8503158127677667,0.9232925616841731,0.8938702305940908,0.9359997925895259,0.9226568270930786,0.7748157739206157,0.9237757568876958,0.9260400064393941,1.0,0.9238027414729393
ZEC,0.85691950155307,0.28529434652863156,0.8203675328443691,0.8761280230761156,0.9075815223270673,0.9202741126220652,0.9481824867365759,0.9369151825614181,0.7485271019358767,0.9333467077855176,0.9479273787586622,0.9238027414729393,1.0
