,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.034867375020954855,0.8480512878910201,0.8290209750481491,0.819798215183167,0.8312893534921685,0.8884830680974141,0.9113085421752807,0.5931801938277298,0.8637873748965536,0.8825264207608197,0.8313331071007907,0.8569195015530704
FCN,0.034867375020954855,1.0,0.033489925882380985,0.12736243625292765,0.34681652181431855,0.264628099619556,0.2635668399877065,0.16960397523990306,0.5171279376455401,0.2063560619329854,0.2518257923135205,0.33066314213450243,0.2852943465286313
BCN,0.8480512878910201,0.033489925882380985,1.0,0.8808957765828869,0.7741541602370382,0.8607021114846073,0.8597941116080415,0.861419079601506,0.5772118308495552,0.8383131343230847,0.816950666953419,0.8045624432563325,0.8203675328443688
GRS,0.8290209750481491,0.12736243625292765,0.8808957765828869,1.0,0.8215516803131285,0.8782361575084158,0.8672658079540088,0.874529636221481,0.6426757776266615,0.89226621295911,0.8533431867666603,0.8503158127677657,0.876128023076116
ZCL,0.819798215183167,0.34681652181431855,0.7741541602370382,0.8215516803131285,1.0,0.8825427314991012,0.9323697482067753,0.9153279045793674,0.7750891657446247,0.9126568042048432,0.9235655114151219,0.9232925616841736,0.9075815223270667
UBQ,0.8312893534921685,0.264628099619556,0.8607021114846073,0.8782361575084158,0.8825427314991012,1.0,0.9374398344538651,0.9224276738859647,0.7715768051176268,0.9297944905340215,0.9329856104472275,0.8938702305940919,0.9202741126220646
EXP,0.8884830680974141,0.2635668399877065,0.8597941116080415,0.8672658079540088,0.9323697482067753,0.9374398344538651,1.0,0.9578145128447946,0.7789124739472423,0.9403453014978888,0.9704097153527638,0.9359997925895263,0.9481824867365749
ETC,0.9113085421752807,0.16960397523990306,0.861419079601506,0.874529636221481,0.9153279045793674,0.9224276738859647,0.9578145128447946,1.0,0.6992439555938206,0.9408481623665481,0.9665396521069346,0.9226568270930787,0.9369151825614181
XMR,0.5931801938277298,0.5171279376455401,0.5772118308495552,0.6426757776266615,0.7750891657446247,0.7715768051176268,0.7789124739472423,0.6992439555938206,1.0,0.7428547215013389,0.7603451081949898,0.7748157739206166,0.7485271019358765
BTX,0.8637873748965536,0.2063560619329854,0.8383131343230847,0.89226621295911,0.9126568042048432,0.9297944905340215,0.9403453014978888,0.9408481623665481,0.7428547215013389,1.0,0.9501574172457903,0.9237757568876961,0.9333467077855176
ETH,0.8825264207608197,0.2518257923135205,0.816950666953419,0.8533431867666603,0.9235655114151219,0.9329856104472275,0.9704097153527638,0.9665396521069346,0.7603451081949898,0.9501574172457903,1.0,0.9260400064393937,0.9479273787586618
BTG,0.8313331071007907,0.33066314213450243,0.8045624432563325,0.8503158127677657,0.9232925616841736,0.8938702305940919,0.9359997925895263,0.9226568270930787,0.7748157739206166,0.9237757568876961,0.9260400064393937,1.0,0.9238027414729388
ZEC,0.8569195015530704,0.2852943465286313,0.8203675328443688,0.876128023076116,0.9075815223270667,0.9202741126220646,0.9481824867365749,0.9369151825614181,0.7485271019358765,0.9333467077855176,0.9479273787586618,0.9238027414729388,1.0
