,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.03486737502095452,0.8480512878910195,0.8290209750481479,0.819798215183168,0.831289353492168,0.8884830680974138,0.9113085421752807,0.5931801938277296,0.8637873748965539,0.8825264207608188,0.8313331071007913,0.8569195015530702
FCN,0.03486737502095452,1.0,0.03348992588238113,0.1273624362529272,0.34681652181431843,0.2646280996195558,0.2635668399877064,0.16960397523990292,0.5171279376455401,0.20635606193298497,0.2518257923135202,0.3306631421345023,0.28529434652863156
BCN,0.8480512878910195,0.03348992588238113,1.0,0.8808957765828866,0.7741541602370382,0.8607021114846065,0.8597941116080405,0.861419079601506,0.5772118308495549,0.8383131343230855,0.8169506669534187,0.8045624432563317,0.8203675328443683
GRS,0.8290209750481479,0.1273624362529272,0.8808957765828866,1.0,0.8215516803131286,0.8782361575084137,0.867265807954008,0.8745296362214806,0.6426757776266607,0.8922662129591094,0.8533431867666612,0.8503158127677658,0.8761280230761167
ZCL,0.819798215183168,0.34681652181431843,0.7741541602370382,0.8215516803131286,1.0,0.8825427314991008,0.9323697482067739,0.915327904579368,0.7750891657446247,0.912656804204843,0.9235655114151231,0.9232925616841721,0.9075815223270669
UBQ,0.831289353492168,0.2646280996195558,0.8607021114846065,0.8782361575084137,0.8825427314991008,1.0,0.9374398344538649,0.9224276738859647,0.7715768051176267,0.9297944905340213,0.932985610447227,0.8938702305940908,0.9202741126220636
EXP,0.8884830680974138,0.2635668399877064,0.8597941116080405,0.867265807954008,0.9323697482067739,0.9374398344538649,1.0,0.9578145128447947,0.7789124739472418,0.9403453014978881,0.9704097153527631,0.9359997925895267,0.9481824867365749
ETC,0.9113085421752807,0.16960397523990292,0.861419079601506,0.8745296362214806,0.915327904579368,0.9224276738859647,0.9578145128447947,1.0,0.6992439555938198,0.9408481623665484,0.9665396521069355,0.9226568270930781,0.9369151825614174
XMR,0.5931801938277296,0.5171279376455401,0.5772118308495549,0.6426757776266607,0.7750891657446247,0.7715768051176267,0.7789124739472418,0.6992439555938198,1.0,0.7428547215013387,0.7603451081949909,0.7748157739206158,0.7485271019358759
BTX,0.8637873748965539,0.20635606193298497,0.8383131343230855,0.8922662129591094,0.912656804204843,0.9297944905340213,0.9403453014978881,0.9408481623665484,0.7428547215013387,1.0,0.9501574172457906,0.9237757568876952,0.9333467077855182
ETH,0.8825264207608188,0.2518257923135202,0.8169506669534187,0.8533431867666612,0.9235655114151231,0.932985610447227,0.9704097153527631,0.9665396521069355,0.7603451081949909,0.9501574172457906,1.0,0.9260400064393932,0.9479273787586611
BTG,0.8313331071007913,0.3306631421345023,0.8045624432563317,0.8503158127677658,0.9232925616841721,0.8938702305940908,0.9359997925895267,0.9226568270930781,0.7748157739206158,0.9237757568876952,0.9260400064393932,1.0,0.9238027414729392
ZEC,0.8569195015530702,0.28529434652863156,0.8203675328443683,0.8761280230761167,0.9075815223270669,0.9202741126220636,0.9481824867365749,0.9369151825614174,0.7485271019358759,0.9333467077855182,0.9479273787586611,0.9238027414729392,1.0
