,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,ETH,BTG,ZEC
QCN,1.0,0.03486737502095443,0.8480512878910194,0.8290209750481475,0.8197982151831671,0.8312893534921684,0.8884830680974133,0.9113085421752806,0.8825264207608181,0.8313331071007908,0.8569195015530694
FCN,0.03486737502095443,1.0,0.03348992588238051,0.12736243625292684,0.3468165218143186,0.26462809961955575,0.26356683998770575,0.16960397523990278,0.2518257923135202,0.3306631421345024,0.2852943465286312
BCN,0.8480512878910194,0.03348992588238051,1.0,0.8808957765828872,0.7741541602370388,0.8607021114846071,0.8597941116080408,0.861419079601506,0.816950666953419,0.8045624432563327,0.8203675328443689
GRS,0.8290209750481475,0.12736243625292684,0.8808957765828872,1.0,0.8215516803131295,0.878236157508414,0.8672658079540079,0.874529636221481,0.8533431867666602,0.8503158127677661,0.8761280230761155
ZCL,0.8197982151831671,0.3468165218143186,0.7741541602370388,0.8215516803131295,1.0,0.8825427314991023,0.9323697482067743,0.9153279045793681,0.9235655114151222,0.9232925616841736,0.9075815223270665
UBQ,0.8312893534921684,0.26462809961955575,0.8607021114846071,0.878236157508414,0.8825427314991023,1.0,0.9374398344538666,0.9224276738859647,0.932985610447227,0.8938702305940912,0.9202741126220645
EXP,0.8884830680974133,0.26356683998770575,0.8597941116080408,0.8672658079540079,0.9323697482067743,0.9374398344538666,1.0,0.9578145128447948,0.970409715352764,0.9359997925895268,0.9481824867365757
ETC,0.9113085421752806,0.16960397523990278,0.861419079601506,0.874529636221481,0.9153279045793681,0.9224276738859647,0.9578145128447948,1.0,0.9665396521069359,0.9226568270930783,0.9369151825614183
ETH,0.8825264207608181,0.2518257923135202,0.816950666953419,0.8533431867666602,0.9235655114151222,0.932985610447227,0.970409715352764,0.9665396521069359,1.0,0.9260400064393927,0.947927378758662
BTG,0.8313331071007908,0.3306631421345024,0.8045624432563327,0.8503158127677661,0.9232925616841736,0.8938702305940912,0.9359997925895268,0.9226568270930783,0.9260400064393927,1.0,0.9238027414729387
ZEC,0.8569195015530694,0.2852943465286312,0.8203675328443689,0.8761280230761155,0.9075815223270665,0.9202741126220645,0.9481824867365757,0.9369151825614183,0.947927378758662,0.9238027414729387,1.0
